,Symbol,Name,Open
2020-01-02 00:00:00-05:00,DGRO,iShares Core Dividend Growth ETF,39.10358651988803
2020-01-02 00:00:00-05:00,TIP,iShares TIPS Bond ETF,103.77409259367883
2020-01-02 00:00:00-05:00,SDY,SPDR S&P Dividend ETF,99.10380065300335
2020-01-02 00:00:00-05:00,IUSB,iShares Core Total USD Bond Market ETF,48.3299030265016
2020-01-02 00:00:00-05:00,DVY,iShares Select Dividend ETF,94.11523875845366
2020-01-02 00:00:00-05:00,SCHB,Schwab U.S. Broad Market ETF,36.68436045259562
2020-01-02 00:00:00-05:00,VGSH,Vanguard Short-Term Treasury Index Fund,58.30455405459996
2020-01-02 00:00:00-05:00,MDY,SPDR S&P MIDCAP 400 ETF Trust,362.9539638395713
2020-01-02 00:00:00-05:00,ACWI,iShares MSCI ACWI ETF,75.83175906077948
2020-01-02 00:00:00-05:00,VGK,Vanguard European Stock Index Fund,53.29008280468134
2020-01-02 00:00:00-05:00,PFF,iShares Preferred and Income Securities ETF,32.122507710554416
2020-01-02 00:00:00-05:00,XLP,Consumer Staples Select Sector SPDR Fund,58.068855664729846
2020-01-02 00:00:00-05:00,VHT,Vanguard Health Care Index Fund,184.44066924581153
2020-01-02 00:00:00-05:00,XLU,Utilities Select Sector SPDR Fund,58.41357444200387
2020-01-02 00:00:00-05:00,SCHG,Schwab U.S. Large-Cap Growth ETF,45.96018316056882
2020-01-02 00:00:00-05:00,SPYG,SPDR Portfolio S&P 500 Growth ETF,40.89324012291343
2020-01-02 00:00:00-05:00,SPLG,SPDR Portfolio S&P 500 ETF,36.04427589988145
2020-01-02 00:00:00-05:00,VOE,Vanguard Mid-Cap Value Index Fund,111.03490042888609
2020-01-02 00:00:00-05:00,VMBS,Vanguard Mortgage-Backed Securities Index Fund,50.107685089111335
2020-01-02 00:00:00-05:00,SPDW,SPDR Portfolio Developed World ex-US ETF,29.01647314577626
2020-01-02 00:00:00-05:00,EFV,iShares MSCI EAFE Value ETF,45.25272053213044
2020-01-02 00:00:00-05:00,USFR,WisdomTree Floating Rate Treasury Fund,48.52285337988419
2020-01-02 00:00:00-05:00,VTIP,Vanguard Short-Term Inflation-Protected Securities Index Fund,43.49638006302678
2020-01-02 00:00:00-05:00,EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,99.79314218185257
2020-01-02 00:00:00-05:00,GDX,VanEck Gold Miners ETF,28.477762389333755
2020-01-02 00:00:00-05:00,SPYV,SPDR Portfolio S&P 500 Value ETF,32.421413679076394
2020-01-02 00:00:00-05:00,BIV,Vanguard Intermediate-Term Bond Index Fund,79.62306213378906
2020-01-02 00:00:00-05:00,XLY,Consumer Discretionary Select Sector SPDR Fund,122.61123046993167
2020-01-02 00:00:00-05:00,ESGU,iShares ESG Aware MSCI USA ETF,68.31564463902312
2020-01-02 00:00:00-05:00,VXF,Vanguard Extended Market Index Fund,121.81005687775222
2020-01-02 00:00:00-05:00,HYG,iShares iBoxx $ High Yield Corporate Bond ETF,75.27935441447798
2020-01-02 00:00:00-05:00,SCHA,Schwab U.S. Small-Cap ETF,36.44825618818892
2020-01-02 00:00:00-05:00,SCHO,Schwab Short-Term U.S. Treasury ETF,48.74357340280321
