Date,Symbol,Name,Open
2020-01-06 00:00:00-05:00,XOM,Exxon Mobil Corporation,58.555716687709506
2020-01-06 00:00:00-05:00,CVX,Chevron Corporation,104.31141745655984
2020-01-06 00:00:00-05:00,SHEL,Shell plc,53.84442138671875
2020-01-06 00:00:00-05:00,TTE,TotalEnergies SE,45.031609950612996
2020-01-06 00:00:00-05:00,COP,ConocoPhillips,58.06816434241264
2020-03-03 00:00:00-05:00,XOM,Exxon Mobil Corporation,45.56931256820767
2020-03-03 00:00:00-05:00,CVX,Chevron Corporation,84.24865660653158
2020-03-03 00:00:00-05:00,SHEL,Shell plc,40.991506473670015
2020-03-03 00:00:00-05:00,TTE,TotalEnergies SE,35.13307059162106
2020-03-03 00:00:00-05:00,COP,ConocoPhillips,43.70055441963989
2020-05-04 00:00:00-04:00,XOM,Exxon Mobil Corporation,35.90642534828552
2020-05-04 00:00:00-04:00,CVX,Chevron Corporation,77.25912777647915
2020-05-04 00:00:00-04:00,SHEL,Shell plc,28.697654338210747
2020-05-04 00:00:00-04:00,TTE,TotalEnergies SE,26.936415899725016
2020-05-04 00:00:00-04:00,COP,ConocoPhillips,34.074613177723016
2020-07-02 00:00:00-04:00,XOM,Exxon Mobil Corporation,38.419413124492415
2020-07-02 00:00:00-04:00,CVX,Chevron Corporation,78.93211347785392
2020-07-02 00:00:00-04:00,SHEL,Shell plc,30.22333278323665
2020-07-02 00:00:00-04:00,TTE,TotalEnergies SE,32.30767617929296
2020-07-02 00:00:00-04:00,COP,ConocoPhillips,37.26696535632948
2020-09-02 00:00:00-04:00,XOM,Exxon Mobil Corporation,34.44480109510126
2020-09-02 00:00:00-04:00,CVX,Chevron Corporation,74.41668091994681
2020-09-02 00:00:00-04:00,SHEL,Shell plc,26.80404424424313
2020-09-02 00:00:00-04:00,TTE,TotalEnergies SE,32.66333816177756
2020-09-02 00:00:00-04:00,COP,ConocoPhillips,33.30809656363734
2020-11-03 00:00:00-05:00,XOM,Exxon Mobil Corporation,30.282988133365965
2020-11-03 00:00:00-05:00,CVX,Chevron Corporation,65.54688114317862
2020-11-03 00:00:00-05:00,SHEL,Shell plc,25.0054855437246
2020-11-03 00:00:00-05:00,TTE,TotalEnergies SE,27.473021068783552
2020-11-03 00:00:00-05:00,COP,ConocoPhillips,27.994768228142927
2021-01-05 00:00:00-05:00,XOM,Exxon Mobil Corporation,37.62276667142126
2021-01-05 00:00:00-05:00,CVX,Chevron Corporation,77.72082153792043
2021-01-05 00:00:00-05:00,SHEL,Shell plc,34.492668138847165
2021-01-05 00:00:00-05:00,TTE,TotalEnergies SE,36.979164035751765
2021-01-05 00:00:00-05:00,COP,ConocoPhillips,36.67023993446925
2021-03-02 00:00:00-05:00,XOM,Exxon Mobil Corporation,64.53081137959873
2021-03-02 00:00:00-05:00,CVX,Chevron Corporation,64.53081137959873
2021-03-02 00:00:00-05:00,SHEL,Shell plc,64.53081137959873
2021-03-02 00:00:00-05:00,TTE,TotalEnergies SE,64.53081137959873
2021-03-02 00:00:00-05:00,COP,ConocoPhillips,64.53081137959873
2021-05-04 00:00:00-04:00,XOM,Exxon Mobil Corporation,53.954096539620295
2021-05-04 00:00:00-04:00,CVX,Chevron Corporation,97.6922233224886
2021-05-04 00:00:00-04:00,SHEL,Shell plc,36.50823184934007
2021-05-04 00:00:00-04:00,TTE,TotalEnergies SE,39.95684322750465
2021-05-04 00:00:00-04:00,COP,ConocoPhillips,47.57388491314669
2021-07-02 00:00:00-04:00,XOM,Exxon Mobil Corporation,58.460568833278266
2021-07-02 00:00:00-04:00,CVX,Chevron Corporation,98.6454068666647
2021-07-02 00:00:00-04:00,SHEL,Shell plc,38.840436393238
2021-07-02 00:00:00-04:00,TTE,TotalEnergies SE,40.83308925696833
2021-07-02 00:00:00-04:00,COP,ConocoPhillips,57.88878162534104
2021-09-02 00:00:00-04:00,XOM,Exxon Mobil Corporation,51.13255446680994
2021-09-02 00:00:00-04:00,CVX,Chevron Corporation,91.40604159402523
2021-09-02 00:00:00-04:00,SHEL,Shell plc,38.16483915926222
2021-09-02 00:00:00-04:00,TTE,TotalEnergies SE,39.51359118682463
2021-09-02 00:00:00-04:00,COP,ConocoPhillips,51.60730809357176
2021-11-02 00:00:00-04:00,XOM,Exxon Mobil Corporation,61.247929978468555
2021-11-02 00:00:00-04:00,CVX,Chevron Corporation,107.99610479345559
2021-11-02 00:00:00-04:00,SHEL,Shell plc,43.28019812300368
2021-11-02 00:00:00-04:00,TTE,TotalEnergies SE,45.62882423124842
2021-11-02 00:00:00-04:00,COP,ConocoPhillips,70.03110469972937
2022-01-04 00:00:00-05:00,XOM,Exxon Mobil Corporation,61.21201004864738
2022-01-04 00:00:00-05:00,CVX,Chevron Corporation,114.76486633528526
2022-01-04 00:00:00-05:00,SHEL,Shell plc,44.31482916569773
2022-01-04 00:00:00-05:00,TTE,TotalEnergies SE,46.99875303321632
2022-01-04 00:00:00-05:00,COP,ConocoPhillips,70.24424955933267
2022-03-02 00:00:00-05:00,XOM,Exxon Mobil Corporation,77.78547372509777
2022-03-02 00:00:00-05:00,CVX,Chevron Corporation,145.21601960962715
2022-03-02 00:00:00-05:00,SHEL,Shell plc,52.55092885768057
2022-03-02 00:00:00-05:00,TTE,TotalEnergies SE,48.07569540221132
2022-03-02 00:00:00-05:00,COP,ConocoPhillips,93.14222954101811
2022-05-03 00:00:00-04:00,XOM,Exxon Mobil Corporation,83.24782271766308
2022-05-03 00:00:00-04:00,CVX,Chevron Corporation,154.2751147777687
2022-05-03 00:00:00-04:00,SHEL,Shell plc,52.73416319587716
2022-05-03 00:00:00-04:00,TTE,TotalEnergies SE,47.08555477836026
2022-05-03 00:00:00-04:00,COP,ConocoPhillips,91.81562243945024
2022-07-05 00:00:00-04:00,XOM,Exxon Mobil Corporation,84.1785480644053
2022-07-05 00:00:00-04:00,CVX,Chevron Corporation,140.02591203784735
2022-07-05 00:00:00-04:00,SHEL,Shell plc,48.636975657678164
2022-07-05 00:00:00-04:00,TTE,TotalEnergies SE,48.621732498592074
2022-07-05 00:00:00-04:00,COP,ConocoPhillips,85.89681069638881
2022-09-02 00:00:00-04:00,XOM,Exxon Mobil Corporation,94.85069188366931
2022-09-02 00:00:00-04:00,CVX,Chevron Corporation,155.64936154132508
2022-09-02 00:00:00-04:00,SHEL,Shell plc,52.83056461503361
2022-09-02 00:00:00-04:00,TTE,TotalEnergies SE,48.773056623222196
2022-09-02 00:00:00-04:00,COP,ConocoPhillips,105.8766433240115
2022-11-02 00:00:00-04:00,XOM,Exxon Mobil Corporation,109.84368838221911
2022-11-02 00:00:00-04:00,CVX,Chevron Corporation,177.9678770145636
2022-11-02 00:00:00-04:00,SHEL,Shell plc,54.94182362149425
2022-11-02 00:00:00-04:00,TTE,TotalEnergies SE,53.79413603860558
2022-11-02 00:00:00-04:00,COP,ConocoPhillips,124.48265844874976
2023-01-04 00:00:00-05:00,XOM,Exxon Mobil Corporation,103.99973887798791
2023-01-04 00:00:00-05:00,CVX,Chevron Corporation,169.45200181180923
2023-01-04 00:00:00-05:00,SHEL,Shell plc,55.29622252899074
2023-01-04 00:00:00-05:00,TTE,TotalEnergies SE,60.750801910335035
2023-01-04 00:00:00-05:00,COP,ConocoPhillips,110.04547452512458
2023-03-02 00:00:00-05:00,XOM,Exxon Mobil Corporation,110.62000274658203
2023-03-02 00:00:00-05:00,CVX,Chevron Corporation,161.97999572753906
2023-03-02 00:00:00-05:00,SHEL,Shell plc,61.52000045776367
2023-03-02 00:00:00-05:00,TTE,TotalEnergies SE,61.313399083036515
2023-03-02 00:00:00-05:00,COP,ConocoPhillips,105.4171241277377
