Date,Symbol,Name,Open
2021-11-02 00:00:00-04:00,PSA,Public Storage,307.6525476375667
2022-01-04 00:00:00-05:00,PLD,"Prologis, Inc.",158.9068410552963
2022-01-04 00:00:00-05:00,AMT,American Tower Corporation,277.77870843201066
2022-01-04 00:00:00-05:00,EQIX,"Equinix, Inc.",813.8212448756176
2022-01-04 00:00:00-05:00,CCI,Crown Castle Inc.,197.22767310222562
2022-01-04 00:00:00-05:00,PSA,Public Storage,338.6252746582031
2022-03-02 00:00:00-05:00,PLD,"Prologis, Inc.",141.5710360973665
2022-03-02 00:00:00-05:00,AMT,American Tower Corporation,220.8282035379247
2022-03-02 00:00:00-05:00,EQIX,"Equinix, Inc.",689.2809268616841
2022-03-02 00:00:00-05:00,CCI,Crown Castle Inc.,160.24629121843114
2022-03-02 00:00:00-05:00,PSA,Public Storage,333.8941904389099
2022-05-03 00:00:00-04:00,PLD,"Prologis, Inc.",149.96486257131795
2022-05-03 00:00:00-04:00,AMT,American Tower Corporation,230.41015206356948
2022-05-03 00:00:00-04:00,EQIX,"Equinix, Inc.",694.3383606567743
2022-05-03 00:00:00-04:00,CCI,Crown Castle Inc.,174.78959016356654
2022-05-03 00:00:00-04:00,PSA,Public Storage,336.80395474377656
2022-07-05 00:00:00-04:00,PLD,"Prologis, Inc.",116.9815173971293
2022-07-05 00:00:00-04:00,AMT,American Tower Corporation,249.91890057422685
2022-07-05 00:00:00-04:00,EQIX,"Equinix, Inc.",655.7972192863893
2022-07-05 00:00:00-04:00,CCI,Crown Castle Inc.,166.07133375721526
2022-07-05 00:00:00-04:00,PSA,Public Storage,295.83535266271724
2022-09-02 00:00:00-04:00,PLD,"Prologis, Inc.",123.06675333040538
2022-09-02 00:00:00-04:00,AMT,American Tower Corporation,253.88059324618368
2022-09-02 00:00:00-04:00,EQIX,"Equinix, Inc.",646.3834602641889
2022-09-02 00:00:00-04:00,CCI,Crown Castle Inc.,167.75711237194452
2022-09-02 00:00:00-04:00,PSA,Public Storage,332.0123530331133
2022-11-02 00:00:00-04:00,PLD,"Prologis, Inc.",106.20698294721524
2022-11-02 00:00:00-04:00,AMT,American Tower Corporation,203.69667267230426
2022-11-02 00:00:00-04:00,EQIX,"Equinix, Inc.",546.7059522996274
2022-11-02 00:00:00-04:00,CCI,Crown Castle Inc.,128.61913120695502
2022-11-02 00:00:00-04:00,PSA,Public Storage,302.0691606066961
2023-01-04 00:00:00-05:00,PLD,"Prologis, Inc.",113.79899566610737
2023-01-04 00:00:00-05:00,AMT,American Tower Corporation,215.80460280340088
2023-01-04 00:00:00-05:00,EQIX,"Equinix, Inc.",665.4873217189472
2023-01-04 00:00:00-05:00,CCI,Crown Castle Inc.,137.6304941938252
2023-01-04 00:00:00-05:00,PSA,Public Storage,273.49704143198153
2023-03-02 00:00:00-05:00,PLD,"Prologis, Inc.",119.40804168319467
2023-03-02 00:00:00-05:00,AMT,American Tower Corporation,191.8924918780933
2023-03-02 00:00:00-05:00,EQIX,"Equinix, Inc.",662.5118061759831
2023-03-02 00:00:00-05:00,CCI,Crown Castle Inc.,126.7030475609865
2023-03-02 00:00:00-05:00,PSA,Public Storage,291.142358053326
