Date,Symbol,Name,Open
2020-01-06 00:00:00-05:00,AAPL,Apple Inc.,71.84516413512249
2020-01-06 00:00:00-05:00,MSFT,Microsoft Corporation,152.32887808669648
2020-01-06 00:00:00-05:00,NVDA,NVIDIA Corporation,57.86977162564424
2020-01-06 00:00:00-05:00,TSM,Taiwan Semiconductor Manufacturing Company Limited,53.78026722465266
2020-01-06 00:00:00-05:00,AVGO,Broadcom Inc.,277.7042195574599
2020-03-03 00:00:00-05:00,AAPL,Apple Inc.,74.43753277958105
2020-03-03 00:00:00-05:00,MSFT,Microsoft Corporation,169.00353605766543
2020-03-03 00:00:00-05:00,NVDA,NVIDIA Corporation,69.45683807360165
2020-03-03 00:00:00-05:00,TSM,Taiwan Semiconductor Manufacturing Company Limited,52.56646985098924
2020-03-03 00:00:00-05:00,AVGO,Broadcom Inc.,254.29788278653172
2020-05-04 00:00:00-04:00,AAPL,Apple Inc.,70.88319242442954
2020-05-04 00:00:00-04:00,MSFT,Microsoft Corporation,169.67446307265342
2020-05-04 00:00:00-04:00,NVDA,NVIDIA Corporation,70.0076783955448
2020-05-04 00:00:00-04:00,TSM,Taiwan Semiconductor Manufacturing Company Limited,48.814328329255886
2020-05-04 00:00:00-04:00,AVGO,Broadcom Inc.,235.50675061139862
2020-07-02 00:00:00-04:00,AAPL,Apple Inc.,90.41382731052327
2020-07-02 00:00:00-04:00,MSFT,Microsoft Corporation,200.5607006599535
2020-07-02 00:00:00-04:00,NVDA,NVIDIA Corporation,96.14240216182414
2020-07-02 00:00:00-04:00,TSM,Taiwan Semiconductor Manufacturing Company Limited,55.028739230361225
2020-07-02 00:00:00-04:00,AVGO,Broadcom Inc.,291.66795214640234
2020-09-02 00:00:00-04:00,AAPL,Apple Inc.,135.51683864110544
2020-09-02 00:00:00-04:00,MSFT,Microsoft Corporation,222.8333003687555
2020-09-02 00:00:00-04:00,NVDA,NVIDIA Corporation,146.7036655467996
2020-09-02 00:00:00-04:00,TSM,Taiwan Semiconductor Manufacturing Company Limited,77.24913052053523
2020-09-02 00:00:00-04:00,AVGO,Broadcom Inc.,335.8288270731921
2020-11-03 00:00:00-05:00,AAPL,Apple Inc.,108.00767869752366
2020-11-03 00:00:00-05:00,MSFT,Microsoft Corporation,199.29587946737817
2020-11-03 00:00:00-05:00,NVDA,NVIDIA Corporation,126.7964667500387
2020-11-03 00:00:00-05:00,TSM,Taiwan Semiconductor Manufacturing Company Limited,82.267738912002
2020-11-03 00:00:00-05:00,AVGO,Broadcom Inc.,329.71106093724217
2021-01-05 00:00:00-05:00,AAPL,Apple Inc.,127.1669817179474
2021-01-05 00:00:00-05:00,MSFT,Microsoft Corporation,212.92057410042085
2021-01-05 00:00:00-05:00,NVDA,NVIDIA Corporation,130.73870667937294
2021-01-05 00:00:00-05:00,TSM,Taiwan Semiconductor Manufacturing Company Limited,107.74722472253357
2021-01-05 00:00:00-05:00,AVGO,Broadcom Inc.,397.07212828641883
2021-03-02 00:00:00-05:00,AAPL,Apple Inc.,64.53081137959873
2021-03-02 00:00:00-05:00,MSFT,Microsoft Corporation,64.53081137959873
2021-03-02 00:00:00-05:00,NVDA,NVIDIA Corporation,64.53081137959873
2021-03-02 00:00:00-05:00,TSM,Taiwan Semiconductor Manufacturing Company Limited,64.53081137959873
2021-03-02 00:00:00-05:00,AVGO,Broadcom Inc.,64.53081137959873
2021-05-04 00:00:00-04:00,AAPL,Apple Inc.,129.62962353549733
2021-05-04 00:00:00-04:00,MSFT,Microsoft Corporation,246.52375558915787
2021-05-04 00:00:00-04:00,NVDA,NVIDIA Corporation,146.13376305461284
2021-05-04 00:00:00-04:00,TSM,Taiwan Semiconductor Manufacturing Company Limited,110.6451100779566
2021-05-04 00:00:00-04:00,AVGO,Broadcom Inc.,421.04854930575607
2021-07-02 00:00:00-04:00,AAPL,Apple Inc.,136.4912741979954
2021-07-02 00:00:00-04:00,MSFT,Microsoft Corporation,268.6055271722538
2021-07-02 00:00:00-04:00,NVDA,NVIDIA Corporation,204.11587466242884
2021-07-02 00:00:00-04:00,TSM,Taiwan Semiconductor Manufacturing Company Limited,114.69138166527779
2021-07-02 00:00:00-04:00,AVGO,Broadcom Inc.,452.3828900074467
2021-09-02 00:00:00-04:00,AAPL,Apple Inc.,152.52629229300254
2021-09-02 00:00:00-04:00,MSFT,Microsoft Corporation,298.1012676146113
2021-09-02 00:00:00-04:00,NVDA,NVIDIA Corporation,224.90389968409372
2021-09-02 00:00:00-04:00,TSM,Taiwan Semiconductor Manufacturing Company Limited,116.80653403801578
2021-09-02 00:00:00-04:00,AVGO,Broadcom Inc.,470.4300517338981
2021-11-02 00:00:00-04:00,AAPL,Apple Inc.,147.36179111350808
2021-11-02 00:00:00-04:00,MSFT,Microsoft Corporation,325.8299656083913
2021-11-02 00:00:00-04:00,NVDA,NVIDIA Corporation,257.90337049101976
2021-11-02 00:00:00-04:00,TSM,Taiwan Semiconductor Manufacturing Company Limited,110.15834891785961
2021-11-02 00:00:00-04:00,AVGO,Broadcom Inc.,504.13830958821706
2022-01-04 00:00:00-05:00,AAPL,Apple Inc.,181.2993611666295
2022-01-04 00:00:00-05:00,MSFT,Microsoft Corporation,330.8929002409612
2022-01-04 00:00:00-05:00,NVDA,NVIDIA Corporation,302.4357597374053
2022-01-04 00:00:00-05:00,TSM,Taiwan Semiconductor Manufacturing Company Limited,127.44129933060303
2022-01-04 00:00:00-05:00,AVGO,Broadcom Inc.,637.6358338664678
2022-03-02 00:00:00-05:00,AAPL,Apple Inc.,163.40018137838788
2022-03-02 00:00:00-05:00,MSFT,Microsoft Corporation,292.4905577368345
2022-03-02 00:00:00-05:00,NVDA,NVIDIA Corporation,237.33820950671586
2022-03-02 00:00:00-05:00,TSM,Taiwan Semiconductor Manufacturing Company Limited,105.5600060853947
2022-03-02 00:00:00-05:00,AVGO,Broadcom Inc.,552.6408457513638
2022-05-03 00:00:00-04:00,AAPL,Apple Inc.,157.19772090174914
2022-05-03 00:00:00-04:00,MSFT,Microsoft Corporation,281.2012943174582
2022-05-03 00:00:00-04:00,NVDA,NVIDIA Corporation,193.8188720593145
2022-05-03 00:00:00-04:00,TSM,Taiwan Semiconductor Manufacturing Company Limited,90.78497044934302
2022-05-03 00:00:00-04:00,AVGO,Broadcom Inc.,557.8207784317639
2022-07-05 00:00:00-04:00,AAPL,Apple Inc.,137.14165987257712
2022-07-05 00:00:00-04:00,MSFT,Microsoft Corporation,254.26223994586846
2022-07-05 00:00:00-04:00,NVDA,NVIDIA Corporation,141.64760612195184
2022-07-05 00:00:00-04:00,TSM,Taiwan Semiconductor Manufacturing Company Limited,73.33119869468055
2022-07-05 00:00:00-04:00,AVGO,Broadcom Inc.,460.8846789195739
2022-09-02 00:00:00-04:00,AAPL,Apple Inc.,159.24230009428894
